2849,EnTie Bank
2850,SK Insurance
2851,Central Re
2852,FIRST INS
2854,Polaris
2855,PSC
2856,ML°@
2880,HNFHC
2881,Fubon Financial
2882,CATHAY HOLDINGS
2883,CDIBH
2884,E.S.F.H
2885,Yuanta Group
2886,MEGA FHC
2887,TSFHC
2888,SKFH
2889,NA
2890,SINOPACHOLDINGS
2891,CFHC
2892,FFHC
2901,SHIN SHIN
2903,FEDS
2904,POC
2905,MERCURIES
2906,Collins
2908,Test Rite
2910,TONLIN
2911,Les
2912,PCSC
2913,TTC
2915,RUENTEX IND.LTD
3002,AHOKU
3003,KST
3004,NAFCO
3005,Getac
3006,ESMT
3008,LARGAN
3009,CMO
3010,WAH LEE
3011,JH
3013,UNEEC
3014,ITE
3015,FSP
3016,PRECISION
3017,AVC
3018,TUNG KAI°@
3019,ASIA°@
3021,WELLTEND°@
3022,ICP
3023,Sinbon
3024,ACTION
3025,LOOP
3026,HOLY STONE°@
3027,BILLION
3028,ZENITRON
3029,ZERO ONE 
3030,TRI°@
3031,BRIGHT°@
3032,COMPUCASE°@
3033,Weikeng
3034,NOVATEK°@
3035,Faraday°@
3036,WT°@
3037,UNIMICRON
3038,EDT
3040,G.V.
3041,ALi
3042,TXC
3043,PCM
3044,Tripod
3045,TWM
3046,AOpen
3047,EDIMAX°@
3048,EDOM
3049,SINTEK
3050,U-TECH
3051,Optimax
3052,APEX
3054,CARRY
3055,Spirox Corp.
3056,KB°@
3057,Promise°@
3058,LEI°@
3059,Altek
3060,MIN AIK
3061,FOREPI
3062,CyberTAN°@
3063,IST
3080,WELLYPOWER
3090,NDB°@
3094,DAVICOM°@
3130,104
3189,KINSUS
3209,ALLTEK
3231,Wistron
3296,POWERTECH
3305,SHENMAO
3308,BESTEC
3311,Silitech
3315,MAXTEK
3356,GeoVision
3367,IAC
3376,SZS
3380,Alpha
3383,GPI
3406,GSEO
3419,WHAYU
3443,GUC
3450,ELASER
3474,Inotera
3481,INNOLUX
3494,HiTi
3501,Well Shin
3504,Young Optics
3514,GINTECH
3515,ASROCK
3518,PT TECH.
3519,GET
3532,FST
3533,LOTES
3534,Ralink
3535,Favite
3536,STI
3545,Orisetech
3557,Gamma
3559,GS
3561,SEC
3573,ENTIRE
3576,NSP
3588,LD
3593,logah
3596,Arcadyan
3605,ACES
3607,Coxon
3614,TrendChip
3622,YFO
3701,FICG
3702,WPG
4104,EXCELSIOR 
4106,APEX
4108,PhytoHealth
4119,SCI
4306,YEMCHIO
4414,ROO HSING
4526,TONGTAI
4532,RECHI
4725,TPCC
4904,Far EasTone°@
4906,GEMTEK°@
5203,CyberLink
5305,LSC
5388,SERCOMM
5434,TOPCO
5469,HSB
5471,SONIX°@
5484,EverFocus
5515,CHIEN KUO 
5522,Farglory
5525,SWEETEN°@
5531,Shining
5533,FOUNDING°@
5534,CHONG HONG
5607,Farglory FTZ 
5608,S. W.
5854,TCB
6005,CSC°@
6012,TISC°@
6108,APCB INC.
6112,SYSAGE
6115,I-SHENG°@
6116,Hannstar°@
6117,IN WIN
6119,AECO
6120,FORHOUSE
6128,GPI°@
6131,YOKO°@
6133,GBE°@
6136,FTC°@
6139,L & K°@
6141,PLOTECH°@
6142,CAMEO
6145,PQI°@
6153,Career Tech.
6155,KC°@
6164,LEDTECH°@
6165,JTT
6166,ADLINK°@
6168,HARVATEK CORPOR
6172,Billionton°@
6176,ROEC
6184,Dafeng TV Ltd.
6189,Promate
6191,GBM
6192,LUMAX
6196,MIC
6197,JPC
6201,YAHORNG
6202,HOLTEK°@
6205,COXOC
6206,FLYTECH°@
6209,KINKO
6213,ITEQ
6215,Aurotek
6216,DrayTek Corp.
6224,PTTC.
6225,AIPTEK
6226,Para Light
